,station,do,ph,co,bod,na,tc,wqi
0,1393.0,6.7,7.5,203.0,1.8965,0.1,27.0,93.82000000000001
1,1399.0,5.7,7.2,189.0,2.0,0.2,8391.0,76.96000000000001
2,1475.0,6.3,6.9,179.0,1.7,0.1,5330.0,79.28
3,3181.0,5.8,6.9,64.0,3.8,0.5,8443.0,69.34
4,3182.0,5.8,7.3,83.0,1.9,0.4,5500.0,77.14000000000001
5,1400.0,5.5,7.4,81.0,1.5,0.1,4049.0,77.14000000000001
6,1476.0,6.1,6.7,308.0,1.4,0.3,5672.0,75.44
7,3185.0,6.4,6.7,414.0,1.0,0.2,9423.0,75.44
8,3186.0,6.4,7.6,305.0,2.2,0.1,4990.0,82.03999999999999
9,3187.0,6.3,7.6,77.0,2.3,0.1,4301.0,82.75999999999999
10,1543.0,7.1,7.1,176.0,1.2,0.1,7817.0,82.58000000000001
11,1548.0,6.7,6.4,93.0,1.4,0.1,3433.0,66.25999999999999
12,2276.0,7.4,6.8,121.0,1.7,0.4,18125.0,68.22
13,2275.0,6.9,7.0,620.0,1.1,0.1,6300.0,82.03999999999999
14,3189.0,6.0,7.5,72.0,1.6,0.2,9517.0,82.94
15,1546.0,7.3,7.0,247.0,1.5,0.2,2453.0,82.4
16,2270.0,7.3,7.0,188.0,1.0,0.1,3048.0,82.58000000000001
17,2272.0,7.0,6.9,224.0,1.2,0.3,6742.0,79.28
18,1545.0,7.3,6.7,144.0,1.5,0.1,3052.0,76.16
19,2274.0,5.3,6.8,319.0,1.8,0.3,10250.0,61.88000000000001
20,2271.0,6.3,6.4,79.0,1.6,1.4,12842.0,55.019999999999996
21,2273.0,5.4,7.6,39.0,1.4,0.1,6367.0,77.32000000000002
22,3183.0,2.2,6.5,322.0,4.7,1.2,14920.0,28.120000000000005
23,3184.0,5.2,7.1,192.0,2.6,0.3,8925.0,76.96000000000001
24,3190.0,5.6,7.5,282.0,1.8,0.1,5082.0,76.78
25,3191.0,5.5,7.4,275.0,1.5,0.1,8625.0,76.78
26,1547.0,7.3,6.7,55.0,1.4,0.1,4003.0,76.34
27,3188.0,6.5,7.5,415.0,2.0,0.1,1538.0,82.03999999999999
28,1544.0,7.2,6.3,100.0,1.5,0.1,13575.0,55.019999999999996
29,2651.0,6.6,7.8,95.0,4.9,0.2,36.0,89.32000000000001
30,1461.0,6.9,7.9,99.0,5.0,0.4,34.0,89.32000000000001
31,2653.0,6.8,7.7,85.0,5.2,0.3,23.0,89.32000000000001
32,2654.0,6.7,7.8,80.0,4.9,0.3,29.0,89.32000000000001
33,1092.0,5.1,7.3,3937.0,10.3,1.8,83.0,72.68
34,2670.0,5.6,7.9,468.0,3.6,1.9,164.0,77.36
35,1152.0,6.4,7.6,541.0,5.7,0.6,45.0,88.60000000000001
36,2198.0,5.5,7.4,6166.0,7.7,1.1,67.0,72.68
37,2671.0,5.3,7.7,24062.0,9.9,1.2,304.0,72.68
38,2672.0,6.7,7.6,83.0,4.8,0.2,76.0,83.7
39,2168.0,3.6,7.4,4424.0,31.3,2.2,474.0,61.44
40,2676.0,7.2,7.7,226.0,3.1,0.8,130.0,83.34
41,1151.0,5.9,7.4,268.0,6.4,0.4,68.0,73.04
42,1462.0,5.4,7.5,2413.0,7.4,1.5,116.0,72.68
43,2685.0,5.8,7.3,384.0,5.4,0.6,78.0,77.36
44,2686.0,5.9,7.4,269.0,5.1,1.2,60.0,77.72
45,2687.0,6.0,7.3,269.0,8.5,0.4,58.0,78.66
46,2688.0,6.1,7.3,196.0,6.1,0.5,63.0,78.84
47,2689.0,5.9,7.4,269.0,6.4,0.4,47.0,78.66
48,2696.0,6.3,7.8,223.0,4.6,0.9,32.0,89.14000000000001
49,2199.0,6.7,7.3,9293.0,3.5,1.8,0.0,94.22
50,2701.0,6.8,7.2,170.0,3.1,1.4,0.0,94.76000000000002
51,2702.0,6.8,7.3,4175.0,3.3,1.6,0.0,94.22
52,2703.0,6.9,7.3,4282.0,3.3,1.6,0.0,94.22
53,2704.0,6.9,7.3,5551.0,3.4,1.7,0.0,94.22
54,2706.0,6.8,7.9,5390.0,4.9,0.8,28.0,88.60000000000001
55,2707.0,6.6,8.1,161.0,4.6,0.3,32.0,89.14000000000001
56,2708.0,6.7,8.0,138.0,5.0,0.3,33.0,89.32000000000001
57,2709.0,6.7,7.8,81.0,4.9,0.3,35.0,89.32000000000001
58,1093.0,5.9,7.7,194.0,5.5,0.6,51.0,77.9
59,1094.0,6.3,7.6,186.0,4.6,0.6,31.0,89.14000000000001
60,2162.0,6.6,7.6,207.0,4.7,0.7,31.0,89.14000000000001
61,2712.0,6.8,7.7,85.0,5.0,0.4,34.0,89.32000000000001
62,2164.0,7.1,7.4,176.0,2.7,0.9,30.0,93.82000000000001
63,2713.0,7.0,7.4,178.0,2.7,0.9,40.0,93.82000000000001
64,2714.0,7.2,7.2,180.0,2.7,1.0,70.0,88.2
65,1342.0,6.7,7.5,85.0,1.4,1.0,420.0,88.38
66,1443.0,5.8,7.4,77.0,1.4,0.8,691.0,77.14000000000001
67,3465.0,6.6,7.5,75.0,1.4,0.7,448.0,88.56
68,3466.0,6.7,7.5,82.0,1.4,1.0,443.0,88.38
69,2297.0,6.7,6.9,56.0,0.9,0.2,172.0,85.26
70,2319.0,6.5,6.7,2240.0,1.2,0.2,304.0,81.06
71,2286.0,6.3,6.9,73.0,1.6,0.0,2008.0,79.64000000000001
72,2331.0,7.0,7.4,130.0,0.7,0.1,590.0,82.75999999999999
73,2332.0,6.6,7.7,191.0,1.6,0.2,661.0,82.58000000000001
74,1154.0,6.9,6.9,134.0,1.1,0.4,531.0,79.46000000000001
75,20.0,7.0,7.5,80.0,0.8,0.4,3583.0,82.75999999999999
76,21.0,6.7,7.4,14526.0,0.8,0.6,1969.0,82.03999999999999
77,3464.0,7.2,7.4,82.0,0.7,0.5,1311.0,82.75999999999999
78,1572.0,7.5,7.2,67.0,1.1,0.1,590.0,82.94
79,1573.0,3.0,6.6,965.0,1.7,1.2,530.0,55.28000000000001
80,2295.0,5.9,7.4,17990.0,0.7,0.5,2803.0,76.42000000000002
81,1564.0,6.7,7.5,90.0,1.6,0.9,473.0,88.38
82,2287.0,6.1,7.4,4429.0,2.0,1.6,550.0,82.03999999999999
83,1566.0,6.7,6.9,87.0,1.7,0.2,350.0,85.08
84,2293.0,6.9,6.8,85.0,1.6,0.2,206.0,85.08
85,2337.0,2.1,6.8,101.0,1.6,0.8,694.0,51.36
86,2338.0,2.5,6.9,83.0,1.9,0.3,656.0,51.36
87,42.0,7.2,7.6,75.0,1.4,1.0,426.0,88.56
88,2294.0,3.7,7.7,32005.0,1.2,0.9,60392.0,53.94
89,3460.0,6.1,7.6,281.0,1.2,0.7,718.0,82.4
90,3458.0,6.7,7.6,106.0,0.5,2.5,71.0,88.38
91,1571.0,7.6,7.1,58.0,1.2,0.1,961.0,82.94
92,1155.0,1.9,7.7,2941.0,26.9,2.8,37375.0,33.339999999999996
93,3471.0,7.4,7.0,35.0,0.1,0.0,409.0,88.56
94,2289.0,6.4,7.2,63.0,1.3,0.4,535.0,82.94
95,2301.0,5.4,6.7,65.0,1.1,0.3,144.0,76.34
96,2291.0,5.6,7.3,90.0,1.6,0.4,705.0,77.14000000000001
97,2326.0,7.1,8.0,728.0,1.2,0.4,697.0,82.03999999999999
98,1569.0,5.9,6.8,13953.0,1.5,0.4,166.0,78.74000000000001
99,2298.0,7.4,6.9,57.0,1.1,0.3,159.0,85.26
100,1567.0,7.2,7.2,41.0,0.7,0.2,658.0,82.94
101,1568.0,6.5,7.4,71.0,0.6,0.3,7018.0,82.94
102,2285.0,6.8,7.1,81.0,0.8,0.0,1268.0,82.75999999999999
103,1340.0,6.8,6.9,68.0,1.7,0.1,660.0,79.64000000000001
104,1384.0,6.6,7.0,70.0,1.4,0.1,822.0,82.94
105,3459.0,6.4,7.7,100.0,0.6,0.9,88.0,88.38
106,2307.0,7.3,6.9,96.0,1.9,0.2,825.0,79.46000000000001
107,1339.0,6.8,6.6,49.0,0.5,0.4,2950.0,73.04
108,2304.0,5.6,7.2,24360.0,2.1,0.3,447.0,82.04
109,43.0,6.9,6.8,59.0,0.6,0.5,3375.0,79.64000000000001
110,2302.0,7.1,6.8,14410.0,1.8,0.1,468.0,84.36
111,1570.0,6.2,7.2,22757.0,1.5,0.1,542.0,82.03999999999999
112,1563.0,6.7,7.1,66.0,0.6,0.0,626.0,82.94
113,2284.0,7.2,7.0,59.0,0.6,0.0,433.0,88.56
114,2288.0,6.0,7.6,120.0,1.3,1.1,523.0,82.75999999999999
115,1156.0,5.2,6.8,55.0,0.6,0.7,313.0,79.64000000000001
116,1341.0,4.8,6.8,86.0,0.7,0.8,332.0,73.84
117,1565.0,3.9,6.9,62.0,0.5,0.7,284.0,68.4
118,17.0,5.0,6.9,3185.0,1.8,0.4,667.0,67.5
119,18.0,7.0,7.0,36.0,1.1,0.2,541.0,82.94
120,1338.0,6.3,6.9,64.0,1.2,0.3,815.0,79.64000000000001
121,2333.0,6.2,6.9,86.0,1.3,0.2,1007.0,79.46000000000001
122,2334.0,5.7,6.8,2640.0,1.9,0.5,759.0,73.12
123,2335.0,5.7,6.9,53.0,3.1,0.4,1205.0,69.34
124,2336.0,6.6,7.1,2007.0,1.3,0.2,785.0,82.03999999999999
125,3468.0,6.6,7.0,46.0,1.3,0.3,472.0,88.56
126,2300.0,6.5,6.5,43.0,0.9,0.4,188.0,78.66000000000001
127,2303.0,6.7,6.3,54.0,0.9,0.1,610.0,66.44
128,2290.0,4.3,7.2,113.0,1.8,0.4,796.0,71.52000000000001
129,2299.0,4.6,6.7,12561.0,1.5,0.6,171.0,69.82000000000001
130,2305.0,7.7,6.9,61.0,1.6,0.0,554.0,79.64000000000001
131,2296.0,5.8,6.5,61.0,1.0,0.4,151.0,73.04
132,2292.0,4.5,6.9,1614.0,2.1,0.6,230.0,73.12
133,2306.0,6.9,7.2,20950.0,1.3,0.2,643.0,82.03999999999999
134,3473.0,6.6,7.0,14487.0,0.9,0.3,103.0,87.66
135,1442.0,6.9,7.5,54.0,0.6,0.0,1633.0,82.94
136,1448.0,5.5,7.6,569.0,1.3,0.9,141.0,82.04
137,2352.0,5.4,7.8,310.0,0.8,2.4,107.0,82.04
138,3080.0,7.1,7.8,516.0,0.7,0.5,1238.0,82.03999999999999
139,3081.0,6.9,8.0,505.0,0.9,0.7,1563.0,82.03999999999999
140,1444.0,7.3,7.3,109.0,2.4,3.4,65.0,88.38
141,2780.0,7.5,7.5,83.0,2.1,2.0,74.0,88.38
142,1894.0,6.4,7.2,102.0,1.0,0.0,1223.0,82.75999999999999
143,1892.0,6.5,7.1,92.0,1.0,0.0,1342.0,82.75999999999999
144,2423.0,7.7,7.9,232.0,1.3,0.8,40500.0,71.16
145,2424.0,7.5,7.8,519.0,2.1,0.7,53556.0,70.8
146,2425.0,7.3,7.2,103.0,0.7,1.7,13810.0,71.52
147,2422.0,7.4,7.9,196.0,0.7,0.6,15213.0,71.34
148,1642.0,7.4,7.8,244.0,1.9,1.0,12473.0,71.16
149,1643.0,7.5,8.0,243.0,1.7,0.9,30319.0,71.16
150,1455.0,7.2,8.0,296.0,1.5,0.7,4314.0,82.4
151,1456.0,6.6,7.8,25034.0,1.5,0.9,4224.0,82.03999999999999
152,2426.0,7.5,7.9,194.0,1.0,1.0,8559.0,82.58000000000001
153,2427.0,7.4,7.9,170.0,0.8,0.9,16709.0,71.34
154,1685.0,6.7,7.3,386.0,1.8965,0.2,468.0,87.66
155,2444.0,5.9,7.9,21600.0,1.8965,0.1,468.0,82.04
156,2442.0,6.5,7.3,21600.0,1.8965,0.1,468.0,87.66
157,2443.0,6.5,7.7,26600.0,1.8965,0.1,468.0,87.66
158,2445.0,6.0,7.1,13000.0,1.8965,0.4,468.0,87.66
159,1450.0,6.5,7.4,1063.0,2.0,0.6,374.0,87.66
160,1159.0,6.8,6.6,63.0,2.9,0.1,36.0,84.28
161,1160.0,6.6,6.4,101.0,2.5,0.2,41.0,77.5
162,1161.0,6.6,6.5,136.0,2.5,0.2,45.0,84.10000000000001
163,1162.0,6.7,6.9,226.0,2.2,0.2,38.0,90.34
164,1328.0,6.7,6.3,72.0,2.7,0.2,32.0,77.68
165,1329.0,6.7,6.4,61.0,4.6,0.1,34.0,73.0
166,1330.0,6.6,7.2,1300.0,2.7,0.2,60.0,87.66
